Created At,Updated At,Location,What was it like playing the game? | I would tell someone who is representing themselves in court to play this game.,What was it like playing the game? | I learned something about going to court.,What was it like playing the game? | I enjoyed playing the game.,What was it like playing the game? | It would have been helpful to play this game before going to court.,Tell us anything else we should know about playing the game.,Have you ever been involved in a court case before?,"If yes, how were you involved?"
12/31/15 17:52,12/31/15 17:52,British Columbia,Disagree,Disagree,Strongly Disagree,Disagree,"It's hard to even understand that it's a game - there's nothing that tells you what to do. Many times, there are lists of options to choose from, but no indication why I should choose one or the other - in some cases, there were a few options that I would have selected together, but I was only able to select one. I ended up just starting to select answers that I knew would move the game along more quickly because it was really annoying and not at all interesting or enjoyable to play. I really like the idea of the game, but there is no way that this, the way it is designed, is going to help anyone learn anything about going to court. ",Yes,"I was the defendant in a family law case that lasted a number of years. I started with a lawyer, but ended up representing myself, successfully. "
12/31/15 22:22,12/31/15 22:22,,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,"At first I didn't understand I was to choose an option, and honestly, I'm still not sure about the first few screens as far as prep work and what would have happened had I answered differently. At one point I wondered about an ""all of the above"" option.  Also, I think an introduction to the game would be helpful, to describe how it was to be played and what to expect. Very brief though.",Yes,"Quite. My first experiences probably had to do with me being an expert witness as a School Psychologist testifying about IQ - I was subpoena'd without an attorney preparing me for the case, although I learned a bit from school. Next I worked for CPS so at least weekly wrote and presented reports at review hearings. I also testified and helped DOJ prepare cases for termination of parental rights and worked closely with DAs on sex abuse cases. All were fine, although divorce court is different. I did have an attorney for a matter leading up to the divorce, which resulted in an all day hearing. The Judge had me testify as an expert witness about a psychologist's findings related to my ex-husband since the expert wasn't there. It was strange, and yet felt the same as when on the stand other times. We had some sort of settlement phone call while I was represented and that was difficult as my attorney was in a different city and the Judge in yet another city. For a modification hearing I was represented, although my ex-husband (an attorney and represented) derailed the process. I later had to go back to court when ex-husband filed to modify child support - due to lack of money (his game was to run me out of money), I represented myself. I anticipate having to go back to court again, and still feel exceptionally ill-equipped and mystified by the process. I would be happy to help with this game, as I am passionate about supporting efforts that could improve the system. That said, it would be strange to leave my name and number. Wishing you the very best of luck and thank you for your work :)"
1/1/16 3:45,1/1/16 3:45,British Columbia,Agree,Agree,Agree,Agree,"At first it wasn't clear that I was supposed to click on one of the choices in the list. This game helps to know that the process isn't simple, that preparing early to avoid surprises is the best thing you can do. The examples of conversation that could take place while before a judge were useful. It would be more helpful if there was more detail in what actually happens while in court. Having a better idea of what happens while standing before a judge would help diminish anxiety about not knowing.",Yes,SLR in a Supreme Court custody case opposed a high priced lawyer. I was not successful and my ex now has sole custody and guardianship of our son.
1/1/16 18:06,1/1/16 18:06,Ontario,Agree,Somewhat Disagree,Neutral,Somewhat Agree,"Resource-intensive on low-end computers. Should be broken down into ""chapters"" or topics and allow jumping in-between them in non-chronolgical order. Perhaps to incentivize people to finish something should be happening when finishing a chapter and progress could be tracked. Should allow pause and resume.",Yes,Defending in an estate litigation matter that lasted over 10 years.
1/12/16 10:51,1/12/16 10:51,Alberta,Agree,Somewhat Agree,Agree,Agree,Would have been nice to expand it to full screen to see it better. would have found it easier if the character's used speech bubbles. Add a Help Button or What should i do button. Clairify what the confidence bar is for early on. Have a back button to follow a different branch of choices. ,Yes,as a respondent in a family court case about property in Alberta Canada
1/13/16 12:05,1/13/16 12:05,Connecticut,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
1/13/16 18:48,1/13/16 18:48,,Somewhat Agree,Agree,Disagree,Somewhat Agree,,,
1/28/16 16:49,1/28/16 16:49,New York,Somewhat Agree,Agree,Agree,Somewhat Agree,There should be an evaluation at the end that tells you what you could have done better.,No,
1/29/16 11:01,1/29/16 11:01,Connecticut,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,I couldn't download the software.,No,
2/1/16 19:59,2/1/16 19:59,Connecticut,Agree,Agree,Somewhat Agree,Agree,"Before starting the game, it would be helpful to know how long the game lasts.  It took me a few moments to figure out how to ""work"" the game.  Maybe some brief instructions in the beginning would be helpful.",No,
